time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,month,day,year,tavg_lag1,prcp_lag1,wpgt_lag3
2022-10-05,0.5117576137881713,22.9,31.0,-0.20530867465337585,0.0,0.0,13.9,0.9455702098618862,1014.7,-1.3636088234574333,10,5,2022,0.49506450255105344,-0.20530867465337585,0.9455702098618862
2022-10-06,0.2947471677056352,22.0,29.0,-0.20530867465337585,0.0,0.0,15.4,0.9455702098618862,1015.6,-1.6127312591607645,10,6,2022,0.5117576137881713,-0.20530867465337585,0.5522186598378499
2022-10-07,0.11112294409733475,21.0,27.6,-0.20530867465337585,0.0,0.0,10.5,-0.21378172705106396,1014.6,-1.6791639086816528,10,7,2022,0.2947471677056352,-0.20530867465337585,-0.5864305639159401
2022-10-08,0.16120227780868945,21.0,28.0,-0.20530867465337585,0.0,0.0,10.8,0.17956982297297377,1014.7,-2.127584292947649,10,8,2022,0.11112294409733475,-0.20530867465337585,0.9455702098618862
2022-10-09,0.19458850028292574,21.0,28.0,-0.20530867465337585,0.0,0.0,11.4,0.17956982297297377,1016.0,-2.077759805806983,10,9,2022,0.16120227780868945,-0.20530867465337585,0.9455702098618862
2022-10-10,0.21128161152004418,21.0,28.7,-0.20530867465337585,0.0,0.0,11.1,0.5522186598378499,1017.5,-2.077759805806983,10,10,2022,0.19458850028292574,-0.20530867465337585,-0.21378172705106396
2022-10-11,0.2613609452313983,20.8,29.0,-0.20530867465337585,0.0,0.0,13.6,0.9455702098618862,1016.9,-2.758694463396088,10,11,2022,0.21128161152004418,-0.20530867465337585,0.17956982297297377
2022-10-12,0.21128161152004418,21.9,28.0,-0.20530867465337585,0.0,0.0,13.2,0.9455702098618862,1016.2,-3.6721433943083026,10,12,2022,0.2613609452313983,-0.20530867465337585,0.17956982297297377
2022-10-13,0.11112294409733475,20.9,28.0,-0.20530867465337585,0.0,0.0,11.4,0.9455702098618862,1016.2,-2.957992411958753,10,13,2022,0.21128161152004418,-0.20530867465337585,0.5522186598378499
2022-10-14,0.07773672162309847,20.0,28.0,-0.20530867465337585,0.0,0.0,8.4,-0.21378172705106396,1014.0,-2.559396514833423,10,14,2022,0.11112294409733475,-0.20530867465337585,0.9455702098618862
2022-10-15,0.5117576137881713,20.9,32.0,-0.20530867465337585,0.0,0.0,9.2,-0.5864305639159401,1010.5,-2.360098566270758,10,15,2022,0.07773672162309847,-0.20530867465337585,0.9455702098618862
2022-10-16,0.5952231699737622,24.0,30.0,-0.20530867465337585,0.0,0.0,15.3,0.9455702098618862,1011.6,-1.4466496353585436,10,16,2022,0.5117576137881713,-0.20530867465337585,0.9455702098618862
2022-10-17,0.21128161152004418,22.0,28.0,-0.20530867465337585,0.0,0.0,14.1,0.9455702098618862,1015.9,-2.127584292947649,10,17,2022,0.5952231699737622,-0.20530867465337585,-0.21378172705106396
